"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus pelios" "AFTRU4" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "AFTRU5" "Plasmodium" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU5" "Plasmodium" "Africa" "Cameroon" "Tropical_resident"
"Turdus pelios" "TURPEL04" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "AFTRU5" "Plasmodium" "Africa" "Equatorial Guinea" "Tropical_resident"
"Turdus pelios" "SYAT05" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "AFTRU4" "Plasmodium" "Africa" "Cameroon" "Tropical_resident"
"Turdus pelios" "TURPEL03" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "TURPEL01" "Leucocytozoon" "Africa" "Cameroon" "Tropical_resident"
"Turdus pelios" "TURPEL02" "Leucocytozoon" "Africa" "Gabon" "Tropical_resident"
"Turdus philomelos" "LINN1" "Plasmodium" "Oceania" "New Zealand" "Migratory"
"Turdus philomelos" "TUPHI04" "Leucocytozoon" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "TUPHI01" "Haemoproteus" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Migratory"
"Turdus philomelos" "SYAT05" "Plasmodium" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "SYAT05" "Plasmodium" "Europe" "Germany" "Migratory"
"Turdus philomelos" "LINN1" "Plasmodium" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "TUPHI02" "Leucocytozoon" "Europe" "Bulgaria" "Migratory"
"Turdus philomelos" "ANLAT12" "Leucocytozoon" "Europe" "Germany" "Migratory"
"Turdus philomelos" "SYAT32" "Haemoproteus" "Europe" "Germany" "Migratory"
"Turdus philomelos" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Migratory"
"Turdus philomelos" "STUR1" "Leucocytozoon" "Europe" "Germany" "Migratory"
"Turdus philomelos" "TUPHI01" "Haemoproteus" "Europe" "Bulgaria" "Migratory"
